UID          PID    PPID  C STIME TTY          TIME CMD
root         183       2  0 15:52 ?        00:00:00 [kworker/R-ttm]
root         184       2  0 15:52 ?        00:00:00 [kworker/R-scsi_]
root         186       2  0 15:52 ?        00:00:00 [scsi_eh_3]
root         188       2  0 15:52 ?        00:00:00 [kworker/R-scsi_]
root         191       2  0 15:52 ?        00:00:00 [scsi_eh_4]
root         192       2  0 15:52 ?        00:00:00 [kworker/R-scsi_]
root         194       2  0 15:52 ?        00:00:00 [scsi_eh_5]
root         198       2  0 15:52 ?        00:00:00 [kworker/R-scsi_]
root         254       2  0 15:52 ?        00:00:00 [kworker/R-raid5]
root         296       2  0 15:52 ?        00:00:00 [jbd2/vda2-8]
root         297       2  0 15:52 ?        00:00:00 [kworker/R-ext4-]
root         366       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         391       2  0 15:52 ?        00:00:00 [kworker/R-kmpat]
root         392       2  0 15:52 ?        00:00:00 [kworker/R-kmpat]
root         393       2  0 15:52 ?        00:00:00 [kworker/R-ixgbe]
root         395       2  0 15:52 ?        00:00:00 [kworker/R-tls-s]
root         403       1  0 15:52 ?        00:00:00 /sbin/multipathd -d -s
root         436       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         445       2  0 15:52 ?        00:00:00 [psimon]
systemd+     563       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     566       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         789       2  0 15:52 ?        00:00:00 [kworker/R-cfg80]
systemd+     851       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-networkd
root         907       1  0 15:52 tty4     00:00:00 /usr/bin/less /var/log/cloud-init.log
root         908       1  0 15:52 ?        00:00:00 /usr/sbin/cron -f -P
message+     909       1  0 15:52 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      914       1  0 15:52 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         931       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         938       1  0 15:52 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         953       1  0 15:52 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         977       1  0 15:52 ?        00:00:03 /usr/bin/containerd
root         982       1  0 15:52 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1020       1  0 15:52 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
openclaw    1031       1  0 15:52 ?        00:00:00 /usr/lib/systemd/systemd --user
openclaw    1037    1031  0 15:52 ?        00:00:00 (sd-pam)
